race_name,race_date,region,location_detail,host_org,registration_status,source_url,source,tier,distance_labels,reg_start,reg_end
2026 대구세계마스터즈 하프마라톤대회,2026-08-30,대구,신천동로 일원,"대구광역시, 세계마스터즈육상연맹(WMA)",접수마감,https://marathongo.co.kr/raceDetail/domestic/2026-daegu-world-masters-half-marathon,marathongo.co.kr,Tier2,하프,2025-12-23,2026-06-23
사우나런 in 뚝섬한강공원,2026-08-31,서울,뚝섬한강공원 인근,사우나런,접수중,https://marathongo.co.kr/raceDetail/domestic/saunarun-2026-08-31-ttukseom-hangang-park,marathongo.co.kr,Tier2,10km 5km,2026-07-06,2026-08-31
2026 이일선마라톤,2026-09-05,경북,울릉도내 나리분지,이일선기념사업회,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-ileelseon-marathon,marathongo.co.kr,Tier2,10km 4.4km 걷기,2026-07-14,2026-08-18
2026 하반기 JUST RUN10 세종,2026-09-05,세종,세종마루공원 밑 금강변,"(주)러닝브레이커, 전국러닝협회",접수마감,https://marathongo.co.kr/raceDetail/domestic/just-run10-sejong-2026-fall,marathongo.co.kr,Tier2,10km 5km,2026-06-19,2026-07-15
제12회 I LOVE 방송대 마라톤,2026-09-05,서울,상암동 평화광장,한국방송통신대학교 전국 총동문,접수중,https://marathongo.co.kr/raceDetail/domestic/12th-i-love-broadcast-marathon-2026,marathongo.co.kr,Tier2,10km 5km,2026-06-30,2026-07-31
제2회 2026 Vrun,2026-09-05,서울,신정교하부육상트랙구장,(사)대한생활체육마라톤협회,접수중,https://marathongo.co.kr/raceDetail/domestic/2nd-2026-vrun-marathon,marathongo.co.kr,Tier2,10km 5km,2026-05-26,2026-08-12
제20회 순천만울트라마라톤대회,2026-09-05,전남,순천동천천변공원,순천만울트라조직위,접수중,https://marathongo.co.kr/raceDetail/domestic/20th-suncheonman-ultramarathon-2026,marathongo.co.kr,Tier2,100km,2026-04-01,2026-08-24
제23회 철원DMZ국제평화마라톤,2026-09-05,강원,철원 고석정,"철원군, 한국일보",접수마감,https://marathongo.co.kr/raceDetail/domestic/23rd-cheorwon-dmz-international-peace-marathon-2026,marathongo.co.kr,Tier2,풀 하프 10km 걷기,2026-02-02,2026-02-27
제11회 김대중 평화 마라톤 대회,2026-09-06,서울,뚝섬 한강공원 수변무대,김대중재단,접수중,https://marathongo.co.kr/raceDetail/domestic/11th-kim-dae-jung-peace-marathon-2026,marathongo.co.kr,Tier2,하프 10km 5km,2026-05-13,2026-08-30
2026 봉화송이 전국마라톤,2026-09-06,경북,봉화공설운동장,"봉화군체육회, 매일신문사",접수중,https://marathongo.co.kr/raceDetail/domestic/2026-bonghwa-songi-national-marathon,marathongo.co.kr,Tier2,하프 10km 5km,2026-02-03,2026-07-27
희망드림 제23회 새벽강변 국제마라톤,2026-09-06,서울,여의도 물빛광장（예정）,(사)한국마라톤협회,접수마감,https://marathongo.co.kr/raceDetail/domestic/hope-dream-23rd-dawn-riverside-international-marathon-2026-06-07-charity,marathongo.co.kr,Tier2,하프 10km 5km,2026-05-12,2026-06-30
나이트런 in 청주,2026-09-12,충북,무심천 체육공원,나이트런 플러스,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-nightrun-in-chungju,marathongo.co.kr,Tier2,10km 5km,2026-05-21,2026-08-30
제2회 화이트런 생리대 기부마라톤,2026-09-12,서울,영등포구 신정교하부 육상트랙구,"청년일보, (주)소풍",접수중,https://marathongo.co.kr/raceDetail/domestic/2nd-whiterun-donation-marathon-2026-09-12,marathongo.co.kr,Tier2,10km 5km 걷기,2026-04-27,2026-08-14
걷기3km 걷기(어린이)제2회 초록우산 런웨이 마라톤,2026-09-12,대전,대전엑스포시민광장,초록우산 대전세종지역본부,접수중,https://marathongo.co.kr/raceDetail/domestic/2nd-green-umbrella-runway-marathon-2026-09-12,marathongo.co.kr,Tier2,하프 10km 5km 3km,2026-04-13,2026-08-01
제26회 강화해변마라톤대회,2026-09-13,인천,강화함상공원,"인천일보,(사)인천마라톤조직위",접수중,https://marathongo.co.kr/raceDetail/domestic/26th-ganghwa-beach-marathon-2026-09-13,marathongo.co.kr,Tier2,하프 10km 5km,2026-06-08,2026-07-31
제16회 스마일 런 페스티벌,2026-09-13,서울,상암동 평화의공원 평화광장,(사)대한치과의사협회,접수중,https://marathongo.co.kr/raceDetail/domestic/16th-smile-run-festival-2026-09-13,marathongo.co.kr,Tier2,하프 10km 5km 걷기,2026-07-01,2026-08-01
제2회 경기신문 씨사이드 마라톤,2026-09-19,인천,영종구 씨사이드파크 일원,경기신문,접수중,https://marathongo.co.kr/raceDetail/domestic/2nd-gyeonggi-newspaper-seaside-marathon-2026,marathongo.co.kr,Tier2,하프 10km 5km,2026-07-13,2026-08-31
2026 인천송도국제하프마라톤,2026-09-20,인천,송도인천대캠퍼스 정문앞,(주)경인일보,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-incheon-songdo-international-half-marathon,marathongo.co.kr,Tier2,하프 10km 5km,2026-07-08,2026-08-07
2026 한돈런,2026-09-20,경기,미사 조정경기장,"한돈자조금위원회, 런코리아",접수중,https://marathongo.co.kr/raceDetail/domestic/2026-handonrun-running-festival,marathongo.co.kr,Tier2,10km 5km,2026-07-02,2026-08-30
2026 동대문마라톤,2026-09-20,서울,중랑천 제1수변공원,동대문구육상연맹,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-dongdaemun-marathon,marathongo.co.kr,Tier2,하프 10km 5km,2026-06-10,2026-08-10
2026 춘천연합마라톤,2026-10-03,강원,춘천시 엘리시안 강촌,"연합뉴스, 춘천시육상연맹",접수중,https://marathongo.co.kr/raceDetail/domestic/2026-chuncheon-united-marathon,marathongo.co.kr,Tier2,하프 10km 5km,2026-07-16,2026-08-31
2026 서산 코스모스 황금들녘 마라톤 대회,2026-10-03,충남,서산스포츠테마파크,서산시체육회,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-seosan-cosmos-golden-fields-marathon,marathongo.co.kr,Tier2,하프 10km 5km,2026-03-20,2026-09-03
2026 S오일 감동의 마라톤,2026-10-04,서울,상암동 평화의 광장,"더윙, S오일",접수전,https://marathongo.co.kr/raceDetail/domestic/2026-soil-gamdong-marathon,marathongo.co.kr,Tier2,하프 10km 5km,2026-08-01,2026-08-31
제23회 경남마라톤,2026-10-04,경남,창원종합운동장 보조경기장,(주)경남신문사,접수중,https://marathongo.co.kr/raceDetail/domestic/23rd-gyeongnam-marathon-2026-10-04,marathongo.co.kr,Tier2,10km 3km,2026-07-13,2026-08-29
2026 한경서울마라톤,2026-10-05,서울,여의도 문화의공원 일원,한경닷컴/런코리아,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-hankyung-seoul-marathon,marathongo.co.kr,Tier2,하프 10km 5km,2026-07-14,2026-09-14
제주풍차런,2026-10-10,제주,한림수협다목적어업인종합지원센터,"주식회사 어디감수광, 수원리",접수중,https://marathongo.co.kr/raceDetail/domestic/jeju-windmill-run-2026-10-10,marathongo.co.kr,Tier2,10km 5km,2026-07-08,2026-09-04
2026 울산마라톤대회,2026-10-11,울산,울산종합운동장,울산광역시 육상연맹,접수전,https://marathongo.co.kr/raceDetail/domestic/2026-ulsan-marathon-asanro-road-race,marathongo.co.kr,Tier2,하프 10km 5km,2026-07-27,2026-08-31
2026 핑크런,2026-10-11,서울,상암월드컵공원 평화광장,한국유방건강재단,접수전,https://marathongo.co.kr/raceDetail/domestic/2026-pinkrun,marathongo.co.kr,Tier2,10km 5km,2026-07-27,2026-08-07
2026 경청마라톤,2026-10-17,서울,신정교 하부 영롱이 억새구장,(사)행복한동행,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-gyeongcheong-marathon,marathongo.co.kr,Tier2,하프 10km 5km,2026-07-07,2026-10-07
2026 부산바다마라톤,2026-10-25,부산,부산 벡스코 일원,부산일보사,접수전,https://marathongo.co.kr/raceDetail/domestic/busan-ocean-marathon-2026,marathongo.co.kr,Tier2,15km 10km 5km,2026-07-28,2026-08-18
패밀리런제2회 대전 신채호 마라톤,2026-11-01,대전,대전 뿌리공원 잔디광장,대전시 중구 육상연맹,접수중,https://marathongo.co.kr/raceDetail/domestic/2nd-daejeon-shinchaeho-marathon-2026,marathongo.co.kr,Tier2,하프 10km 5km,2026-07-10,2026-07-31
2026 해양수도 부산 런페스타,2026-11-07,부산,부산 북항친수공원,"한국해운신문, 부산항발전협의회",접수전,https://marathongo.co.kr/raceDetail/domestic/2026-busan-maritime-run-festa,marathongo.co.kr,Tier2,10km,2026-07-27,2026-10-16
